EQ,PE,RE,IG CB,HY CB,GB,MONEY
1098872.8141864387,1110276.3776875192,1006713.2834692631,1084756.9973624924,1075375.8355940115,1076291.5091788273,996441.5074610122
1108762.0518369323,1110319.877521489,997875.5879145744,1084029.6427454061,1075080.4685108692,1077450.4368736718,996441.5074610132
1116267.9198019407,1113071.356643769,1004537.4920457952,1086675.571982232,1075042.855644728,1082332.561107775,996441.0922644933
1107360.8339218176,1111773.5542047538,992294.8632149782,1084470.1746554126,1073100.6342155482,1080213.3844223607,996440.898510132
1099247.2418408215,1099672.0088392228,984253.1002093101,1088807.889836953,1074067.2443427662,1088129.1241605747,996440.8985101314
1094649.6810356237,1099017.986939057,987597.1892005723,1092987.8470737615,1073859.1387747119,1091087.0266171515,996440.8154725648
1072763.260820541,1078362.2673019413,977406.9392857805,1091197.9945925782,1070417.750704473,1091654.5272711264,996440.7601141955
1034903.7754087416,1046380.5527838364,966343.8529464875,1092949.8935063682,1063794.7670585196,1091507.0025697632,996441.1753103365
1039132.7663327912,1062093.3268071737,965820.5302779602,1094633.7412669621,1064027.3414485562,1094535.9902358882,996441.064593555
1040179.7450204598,1062245.5107955704,970504.2403852653,1097728.27648332,1063019.330243798,1101134.0406795153,996441.0092351703
1056126.1503419036,1078149.489632792,973375.1428488379,1094859.8563652355,1067066.2696323588,1094547.8277330943,996441.1476311268
1049154.4489612684,1071697.9426138876,979104.9296596043,1091959.0509485004,1069264.5033510355,1087993.8417185335,996441.1199519312
1043440.5841693719,1066707.3069412126,979520.6794511377,1098136.2889638662,1070198.1203220515,1093801.435887064,996440.8708342403
1045738.3909372677,1068748.8237375193,981260.2769286486,1097131.4864736255,1070608.772947939,1097369.1525900178,996440.8708342401
1030655.9586836225,1057408.5592713426,981837.2696345294,1098900.733455803,1067432.917879361,1103541.710478877,996440.8985134317
1032565.8330783589,1056509.6779831122,975987.7488823785,1101730.505320856,1065328.279941835,1111632.8909451445,996440.8154758613
1043851.8619086674,1072106.7158010402,984337.3095485592,1100555.0585116514,1066460.282008329,1108009.1897834695,996440.7047591086
1054901.9191204985,1080510.645924975,990498.832248185,1095345.4597012086,1067689.9472292806,1100715.876533813,996440.4556414376
1054166.5226415244,1087940.8819578253,980356.5230759799,1099574.757585189,1068203.1246246854,1104179.7588663665,996440.4556414383
1066922.2267764083,1102628.663423738,989122.1310303968,1099299.661663839,1070347.3068486638,1105699.9874846893,996440.2895663544
1067439.5925585604,1105776.87055164,988621.2982207972,1097535.6151018345,1071671.6280702527,1103307.9713709748,996440.3449247062
1044972.4396729905,1095705.3629174337,994688.3642506346,1102311.7391547156,1071039.3771478673,1105261.4253072513,996440.4002830607
1044805.0835058189,1097458.870631401,988355.2518734373,1102398.4721980207,1070446.9145984175,1105783.4315963017,996440.4833222717
1048433.9842704196,1104883.4406551484,997929.7200281596,1107517.695668551,1071274.44655446,1115621.726816084,996440.4279639095
1048538.2388639709,1099019.9872019482,985527.9888963759,1109076.779706625,1071986.990878559,1121289.0112633123,996440.2895680076
1061164.5418848596,1104867.2803694278,988698.8745000911,1105743.1490077237,1073862.2069593507,1118836.0452841958,996440.1234929691
1070027.7141671393,1113303.6314192335,1008490.7041081117,1106309.4181431173,1074743.1349935788,1117811.6903141001,996439.6529473301
